Row No,Timestamp,Open,High,Low,Close,Volume_.BTC.,Volume_.Currency.,Weighted_Price
2751453,1496180340,2190.005,2193.9,2190.002,2193.899,4.01230743,8798.097441,2192.777496
2751454,1496180400,2193.899,2193.899,2188.001,2188.001,8.70934564,19068.85449,2189.470401
2751455,1496180460,2189.55,2193.9,2188.001,2188.003,15.47741877,33866.13738,2188.09983
2751456,1496180520,2188.203,2194.348,2188.001,2188.001,25.65086776,56131.38312,2188.283985
2751457,1496180580,2188.001,2189.7,2188.001,2188.001,52.17583644,114161.8193,2188.020876
2751458,1496180640,2194.987,2195.188,2188.001,2191.72,10.17703824,22269.31898,2188.192522
2751459,1496180700,2189.793,2195.86,2188.11,2193.201,6.27279671,13740.11662,2190.429126
2751460,1496180760,2193.201,2193.201,2188.001,2188.002,1.30973977,2867.888373,2189.66274
2751461,1496180820,2192.749,2195.415,2188.005,2188.005,5.17164778,11323.33568,2189.502488
2751462,1496180880,2188.1,2193.85,2188.006,2193.849,2.34815996,5143.922528,2190.618448
2751463,1496180940,2188.101,2196.269,2188.006,2196.269,1.20840958,2644.186463,2188.154171
2751464,1496181000,2196.939,2196.939,2188.006,2188.007,0.56528466,1237.227952,2188.681278
2751465,1496181060,2188.007,2195.999,2188.006,2188.006,8.01856478,17560.55895,2189.987789
2751466,1496181120,2188.006,2190,2188.001,2188.001,17.20901697,37654.61222,2188.074559
2751467,1496181180,2188.005,2188.006,2188.005,2188.006,0.10678622,233.6488299,2188.005436
2751468,1496181240,2188.006,2188.006,2188.005,2188.006,0.17279774,378.0824679,2188.005861
2751469,1496181300,2188.005,2188.006,2188.001,2188.001,0.19437208,425.2871445,2188.005317
2751470,1496181360,2188.001,2188.005,2188.001,2188.001,2.35423784,5151.074856,2188.001046
2751471,1496181420,2188.001,2188.006,2188.001,2188.006,6.23802564,13648.80902,2188.001429
2751472,1496181480,2188.001,2188.006,2188.001,2188.006,4.43921009,9713.013556,2188.004929
2751473,1496181540,2188.001,2188.006,2188.001,2188.001,3.0245811,6617.786589,2188.001039
2751474,1496181600,2188.006,2188.006,2188.001,2188.001,1.62407667,3553.481802,2188.001261
2751475,1496181660,2188.001,2188.006,2188.001,2188.001,0.87819714,1921.496746,2188.001598
2751476,1496181720,2188.001,2188.001,2188,2188.001,15.66536707,34275.83365,2188.00067
2751477,1496181780,2188.006,2188.006,2182,2182,18.90327514,41342.11347,2187.034425
2751478,1496181840,2182,2182,2175.452,2175.452,19.20954138,41859.70898,2179.110274
2751479,1496181900,2176.999,2179.997,2173.999,2173.999,1.71646319,3733.022914,2174.834238
2751480,1496181960,2177,2179.997,2177,2177,2.09386724,4558.779186,2177.205459
2751481,1496182020,2181.541,2182.695,2177,2177,0.45847874,998.9735834,2178.887473
2751482,1496182080,2182.695,2182.695,2177,2177,0.4726,1028.921957,2177.151835
2751483,1496182140,2179.999,2180,2179.999,2180,5.97899464,13034.2069,2179.999763
2751484,1496182200,2177.001,2179.85,2176.3,2179.85,2.22948414,4854.479881,2177.4005
2751485,1496182260,2179.849,2183.395,2170,2182.695,42.18488088,91586.05061,2171.063393
2751486,1496182320,2182.695,2183.899,2182.695,2183.899,2.98142627,6510.668909,2183.743054
2751487,1496182380,2183.9,2183.9,2180.845,2180.845,0.16253651,354.7118696,2182.351951
2751488,1496182440,2182.244,2182.244,2173.115,2180,1.03819753,2259.443399,2176.313595
2751489,1496182500,2174,2180,2174,2179.999,1.02364357,2228.684378,2177.207422
2751490,1496182560,2175.901,2180,2165,2172.149,13.29911601,28891.82904,2172.462367
2751491,1496182620,2165.108,2166.893,2160,2162.924,16.03806637,34665.94501,2161.479084
2751492,1496182680,2160.005,2162.925,2150,2150,59.00839377,127007.1281,2152.356978
2751493,1496182740,2150,2150,2139.638,2139.638,26.61798079,57000.12343,2141.414252
2751494,1496182800,2140,2140,2134.423,2139.331,13.43168909,28730.64782,2139.019719
2751495,1496182860,2134.424,2149.491,2134.424,2149.491,14.99482673,32090.67576,2140.116478
2751496,1496182920,2149.999,2156.645,2146.582,2150.001,5.96719417,12830.83375,2150.228966
2751497,1496182980,2150.82,2160.75,2150.82,2160.75,3.30345509,7116.298684,2154.198707
2751498,1496183040,2160.002,2160.002,2146.978,2146.978,15.0953582,32478.79141,2151.574741
2751499,1496183100,2146.978,2148.902,2142,2142.001,1.64939981,3539.251269,2145.781301
2751500,1496183160,2142.001,2146.317,2142,2142,2.50094661,5360.553582,2143.409843
2751501,1496183220,2142,2146.314,2142,2146.314,7.01307858,15022.50507,2142.069977
2751502,1496183280,2142.002,2156.412,2142.002,2147.014,2.04751996,4395.793543,2146.886784
2751503,1496183340,2147.015,2154,2147.014,2147.014,1.13268142,2432.175447,2147.272308
2751504,1496183400,2153.011,2154,2142.152,2149.016,5.29111515,11388.09996,2152.306203
2751505,1496183460,2152,2152,2149.016,2149.016,0.22582344,485.5128948,2149.966783
2751506,1496183520,2148.316,2148.316,2142.51,2142.511,1.49168701,3201.136413,2145.983971
2751507,1496183580,2142.511,2142.511,2142,2142,9.61321136,20593.75965,2142.235189
2751508,1496183640,2142.511,2142.511,2140,2140,8.21811006,17596.58396,2141.195947
2751509,1496183700,2140,2141.74,2127,2127,41.90061266,89563.66092,2137.526285
2751510,1496183760,2127,2129.978,2121,2121,38.81218637,82353.62113,2121.849574
2751511,1496183820,2121.516,2124.518,2121,2121.5,31.15761432,66094.52071,2121.295939
2751512,1496183880,2124.517,2124.517,2120.648,2120.648,15.95926163,33857.06235,2121.467968
2751513,1496183940,2120.8,2124.516,2120,2120,16.40253352,34779.57074,2120.377971
2751514,1496184000,2120,2120.549,2117,2117,35.47708877,75213.5079,2120.058621
2751515,1496184060,2119.999,2121,2116,2116,8.0600777,17064.7511,2117.194367
2751516,1496184120,2117.749,2117.749,2109.799,2110,28.2602232,59698.47884,2112.456028
2751517,1496184180,2114.999,2114.999,2108.345,2108.742,13.28443759,28027.0287,2109.764038
2751518,1496184240,2108.742,2108.742,2101.56,2105,15.56951395,32786.56465,2105.818124
2751519,1496184300,2108.344,2116,2100.005,2116,47.50629662,99978.55445,2104.532695
2751520,1496184360,2116,2116,2096.551,2097.002,71.55560437,150240.583,2099.634044
2751521,1496184420,2097.002,2100,2091,2091.003,9.2691196,19438.39007,2097.112877
2751522,1496184480,2099.998,2116.135,2091.003,2116.135,17.1135677,35916.48148,2098.713846
2751523,1496184540,2109.133,2133,2096.617,2127.548,209.4344127,439819.2435,2100.033313
2751524,1496184600,2127.298,2128,2118.221,2127.999,19.35903135,41190.69771,2127.725141
2751525,1496184660,2127.999,2127.999,2118.3,2125,8.14179409,17323.88105,2127.771946
2751526,1496184720,2125,2125,2118.505,2119.551,23.90576936,50779.60354,2124.156842
2751527,1496184780,2122,2124.998,2099,2099,72.87585669,153690.5604,2108.936586
2751528,1496184840,2100,2100.45,2099.999,2100,12.14266737,25499.62984,2100.002336
2751529,1496184900,2116.937,2119,2110,2119,11.43581251,24218.18528,2117.749417
2751530,1496184960,2118.998,2119,2099.999,2100.001,47.24671868,99312.68991,2102.001847
2751531,1496185020,2109.672,2116.513,2098.999,2099,71.44474337,149995.3824,2099.46002
2751532,1496185080,2099,2108.503,2098.014,2108.502,7.53180133,15810.44478,2099.1585
2751533,1496185140,2100.291,2108.503,2099.99,2101.001,0.72582108,1528.620207,2106.056504
2751534,1496185200,2101.003,2109,2101.003,2107.326,11.23346973,23635.19016,2103.997316
2751535,1496185260,2107.326,2117,2102,2104.8,4.73068014,9970.386022,2107.600964
2751536,1496185320,2107.325,2115.449,2098.643,2099,35.74025488,75096.77818,2101.181943
2751537,1496185380,2099,2107,2099,2107,1.9723749,4151.256267,2104.699399
2751538,1496185440,2107,2107,2099.002,2099.002,31.11682995,65463.67671,2103.802888
2751539,1496185500,2099.84,2107,2099.84,2106.799,22.17736905,46582.46464,2100.450443
2751540,1496185560,2107,2111.514,2106.999,2111.514,4.99225083,10520.70367,2107.406865
2751541,1496185620,2111.513,2116.999,2111.513,2115,5.81747869,12310.54764,2116.13111
2751542,1496185680,2116.999,2116.999,2115.621,2116.999,8.56187612,18123.43882,2116.760224
2751543,1496185740,2116.999,2118.849,2116.999,2118.849,3.26976887,6922.344046,2117.074424
2751544,1496185800,2119.549,2123.712,2119.549,2122.071,9.00667281,19109.56491,2121.711903
